0,1,2,3,4,5,6
SZA,spotify:artist:7tYKF4w9nC0nq9CsPZTHyP,The Weekend (Funk Wav Remix),spotify:album:5enEsi887wD3qGoMCK4jLr,2017-12-15,The Weekend - Funk Wav Remix,spotify:track:0P6AWOA4LG1XOctzaVu5tt
Calvin Harris,spotify:artist:7CajNmpbOovFoOoasH2HaY,The Weekend (Funk Wav Remix),spotify:album:5enEsi887wD3qGoMCK4jLr,2017-12-15,The Weekend - Funk Wav Remix,spotify:track:0P6AWOA4LG1XOctzaVu5tt
Funk Wav,spotify:artist:4A0TivfinfALCAMJqqjZIk,The Weekend (Funk Wav Remix),spotify:album:5enEsi887wD3qGoMCK4jLr,2017-12-15,The Weekend - Funk Wav Remix,spotify:track:0P6AWOA4LG1XOctzaVu5tt
Smino,spotify:artist:1ybINI1qPiFbwDXamRtwxD,Kajun,spotify:album:2PSlV2yMCBJhhU4QyqMD6t,2016-08-19,Kajun,spotify:track:2CYDcunjh8q0F8wDEMW7F7
Jean Deaux,spotify:artist:4JqpJeNOhP6bAkolNMLwFg,Kajun,spotify:album:2PSlV2yMCBJhhU4QyqMD6t,2016-08-19,Kajun,spotify:track:2CYDcunjh8q0F8wDEMW7F7
Phoelix,spotify:artist:2TKC2gVUNBUAlFqfLUoaj0,Kajun,spotify:album:2PSlV2yMCBJhhU4QyqMD6t,2016-08-19,Kajun,spotify:track:2CYDcunjh8q0F8wDEMW7F7
Smino,spotify:artist:1ybINI1qPiFbwDXamRtwxD,NOIR,spotify:album:5rVlqi2fHOmWB764N8PsWF,2018-11-08,BAM 2x,spotify:track:39M9NokmUeFunaUNoCIsp4
Frank Ocean,spotify:artist:2h93pZq0e7k5yf4dywlkpM,In My Room,spotify:album:71VX8yv9T2hNIYVZJVUWVp,2019-11-02,In My Room,spotify:track:4S4Mfvv03M1cHgIOJcbUCL
Chance the Rapper,spotify:artist:1anyVhU62p31KFi8MEzkbf,The Big Day,spotify:album:7bgi7zCoDsZdlLKPonHZqP,2019-07-26,Eternal,spotify:track:5LeStoyvjAHpM52IYogOq0
Smino,spotify:artist:1ybINI1qPiFbwDXamRtwxD,The Big Day,spotify:album:7bgi7zCoDsZdlLKPonHZqP,2019-07-26,Eternal,spotify:track:5LeStoyvjAHpM52IYogOq0
24kGoldn,spotify:artist:6fWVd57NKTalqvmjRd2t8Z,DROPPED OUTTA COLLEGE,spotify:album:2eLpj5EDUhyAoTks8sxcKR,2019-11-22,CITY OF ANGELS,spotify:track:6ap9lSRJ0iLriGLqoJ44cq
Saba,spotify:artist:7Hjbimq43OgxaBRpFXic4x,Stop That,spotify:album:163T4poOyZKxwZcmkMRAq9,2021-11-18,Stop That,spotify:track:74VD75tGYXIHyZR0CmKFWX
Smino,spotify:artist:1ybINI1qPiFbwDXamRtwxD,Reverend,spotify:album:0afMtX2OXCOeqVrlwCVG60,2019-08-23,Reverend,spotify:track:4BYPnNTZkGpnd5Odm2JFpT
Smino,spotify:artist:1ybINI1qPiFbwDXamRtwxD,NOIR,spotify:album:5rVlqi2fHOmWB764N8PsWF,2018-11-08,KLINK,spotify:track:6tdAmfHEd4cXEkNbCMgOP9
Smino,spotify:artist:1ybINI1qPiFbwDXamRtwxD,NOIR,spotify:album:5rVlqi2fHOmWB764N8PsWF,2018-11-08,VERIZON,spotify:track:7KlM4piqWaxB69tvnhlrns
Isaiah Rashad,spotify:artist:6aaMZ3fcfLv4tEbmY7bjRM,The House Is Burning [homies begged],spotify:album:33ichA2TzIOdW248hRlqpH,2021-11-19,Claymore (feat. Smino),spotify:track:7m9927fvnUzBZplXFXemqf
Smino,spotify:artist:1ybINI1qPiFbwDXamRtwxD,The House Is Burning [homies begged],spotify:album:33ichA2TzIOdW248hRlqpH,2021-11-19,Claymore (feat. Smino),spotify:track:7m9927fvnUzBZplXFXemqf
Smino,spotify:artist:1ybINI1qPiFbwDXamRtwxD,blkswn,spotify:album:3bTjPEgPzm1XwXsNlMVHhs,2017-03-14,blkswn,spotify:track:1BFFcF83SmsS6cKBLZGjkc
JID,spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7,DiCaprio 2,spotify:album:2oI6gtIXrvNiL2VEMmj5kY,2018-11-26,Hasta Luego - Bonus,spotify:track:2Zyk0on2N9vZyHueREwoJC
Bladee,spotify:artist:2xvtxDNInKDV4AvGmjw6d1,Drama (feat. Charli XCX),spotify:album:3CR9ZfCeWVq7LbQg5deUqu,2021-04-28,Drama (feat. Charli XCX),spotify:track:3VzW3IXIwEvZ0HcKZEFZjJ
Mechatok,spotify:artist:4poYOxVqlpDTelhhiJcSrW,Drama (feat. Charli XCX),spotify:album:3CR9ZfCeWVq7LbQg5deUqu,2021-04-28,Drama (feat. Charli XCX),spotify:track:3VzW3IXIwEvZ0HcKZEFZjJ
Charli XCX,spotify:artist:25uiPmTg16RbhZWAqwLBy5,Drama (feat. Charli XCX),spotify:album:3CR9ZfCeWVq7LbQg5deUqu,2021-04-28,Drama (feat. Charli XCX),spotify:track:3VzW3IXIwEvZ0HcKZEFZjJ
Kanye West,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,The Life Of Pablo,spotify:album:7gsWAHLeT0w7es6FofOXk1,2016-06-10,Waves,spotify:track:3nAq2hCr1oWsIU54tS98pL
Sean Kingston,spotify:artist:6S0dmVVn4udvppDhZIWxCr,Eenie Meenie EP,spotify:album:6DOZI2LfBRYHRhZV21LrOu,2020-02-28,Eenie Meenie,spotify:track:45O0tUN9Bh6LH4eNxQ07AT
KIDS SEE GHOSTS,spotify:artist:2hPgGN4uhvXAxiXQBIXOmE,KIDS SEE GHOSTS,spotify:album:6pwuKxMUkNg673KETsXPUV,2018-06-08,Reborn,spotify:track:4RVbK6cV0VqWdpCDcx3hiT
Glass Animals,spotify:artist:4yvcSjfu4PC0CYQyLy4wSq,Heat Waves,spotify:album:69K1zrf6TkXHdYUO8n2qVi,2020-06-29,Heat Waves,spotify:track:6CDzDgIUqeDY5g8ujExx2f
Kanye West,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,ye,spotify:album:2Ek1q2haOnxVqhvVKqMvJe,2018-06-01,Ghost Town,spotify:track:7vgTNTaEz3CsBZ1N4YQalM
PARTYNEXTDOOR,spotify:artist:2HPaUgqeutzr3jx5a9WyDV,ye,spotify:album:2Ek1q2haOnxVqhvVKqMvJe,2018-06-01,Ghost Town,spotify:track:7vgTNTaEz3CsBZ1N4YQalM
Chance the Rapper,spotify:artist:1anyVhU62p31KFi8MEzkbf,Acid Rap,spotify:album:2VBcztE58pBKjIDS5oEgFh,2013-04-30,Good Ass Intro,spotify:track:23Ij3xEFmYkRl00dDJCVMP
BJ The Chicago Kid,spotify:artist:07d5etnpjriczFBB8pxmRe,Acid Rap,spotify:album:2VBcztE58pBKjIDS5oEgFh,2013-04-30,Good Ass Intro,spotify:track:23Ij3xEFmYkRl00dDJCVMP
Lili K,spotify:artist:7AguDSkWdr8NzTOvpTID4W,Acid Rap,spotify:album:2VBcztE58pBKjIDS5oEgFh,2013-04-30,Good Ass Intro,spotify:track:23Ij3xEFmYkRl00dDJCVMP
Smino,spotify:artist:1ybINI1qPiFbwDXamRtwxD,NOIR,spotify:album:5rVlqi2fHOmWB764N8PsWF,2018-11-08,LOW DOWN DERRTY BLUES,spotify:track:7lOWMm3udPeBvu5FDmpC8h
Rina Sawayama,spotify:artist:2KEqzdPS7M5YwGmiuPTdr5,SAWAYAMA,spotify:album:3stadz88XVpHcXnVYMHc4J,2020-04-17,Bad Friend,spotify:track:1ApN1loxlt0rzRFc8iETw7
SEBii,spotify:artist:5fAix5NwfNgHQqYRrHIPxo,VVSS,spotify:album:5A2VPzbzuv1EpSoie07kFe,2020-10-26,BONErr,spotify:track:1MGJ8urTP1AgJXDAVJb5cj
The 1975,spotify:artist:3mIj9lX2MWuHmhNCA7LSCW,A Brief Inquiry Into Online Relationships,spotify:album:6PWXKiakqhI17mTYM4y6oY,2018-11-30,I Like America & America Likes Me,spotify:track:1RHuBRoACkLRo2vjGqFCwf
Yameii Online,spotify:artist:141ww9EOPLPetF8mMt1gKF,Cyberspace,spotify:album:6blypuaTKOZLkqUbQyfwXa,2020-04-07,Friday Night Basement,spotify:track:1VUYncEHINT1OkeDvNobQG
Daniel Caesar,spotify:artist:20wkVLutqVOYrc0kxFs7rA,Who Hurt You?,spotify:album:15M9pZ8gsdoN67yLjyQ039,2018-10-16,Who Hurt You?,spotify:track:23c9gmiiv7RCu7twft0Mym
Kendrick Lamar,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,Black Panther The Album Music From And Inspired By,spotify:album:3pLdWdkj83EYfDN6H2N8MR,2018-02-09,All The Stars (with SZA),spotify:track:3GCdLUSnKSMJhs4Tj6CV3s
SZA,spotify:artist:7tYKF4w9nC0nq9CsPZTHyP,Black Panther The Album Music From And Inspired By,spotify:album:3pLdWdkj83EYfDN6H2N8MR,2018-02-09,All The Stars (with SZA),spotify:track:3GCdLUSnKSMJhs4Tj6CV3s
Frank Ocean,spotify:artist:2h93pZq0e7k5yf4dywlkpM,channel ORANGE,spotify:album:392p3shh2jkxUxY2VHvlH8,2012-07-10,Lost,spotify:track:3GZD6HmiNUhxXYf8Gch723
Kendrick Lamar,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,"good kid, m.A.A.d city (Deluxe)",spotify:album:3DGQ1iZ9XKUQxAUWjfC34w,2012,"Sing About Me, I'm Dying Of Thirst",spotify:track:3q2v8QaTnHLveAQzR6gvYm
Gotye,spotify:artist:2AsusXITU8P25dlRNhcAbG,Making Mirrors,spotify:album:1HjSyGjmLNjRAKgT9t1cna,2011-01-01,Somebody That I Used To Know,spotify:track:4wCmqSrbyCgxEXROQE6vtV
Kimbra,spotify:artist:6hk7Yq1DU9QcCCrz9uc0Ti,Making Mirrors,spotify:album:1HjSyGjmLNjRAKgT9t1cna,2011-01-01,Somebody That I Used To Know,spotify:track:4wCmqSrbyCgxEXROQE6vtV
Frank Ocean,spotify:artist:2h93pZq0e7k5yf4dywlkpM,Blonde,spotify:album:3mH6qwIy9crq0I9YQbOuDf,2016-08-20,Self Control,spotify:track:5GUYJTQap5F3RDQiCOJhrS
Cautious Clay,spotify:artist:6iWuBN32BqCJAeXW6o3nil,Deadpan Love,spotify:album:68ioJPPDh78BdVruabXHVn,2021-06-25,Shook,spotify:track:66V5BpE4bbuRWZyehvmuq6
